scei;nom;etat;total_oral;total_points;moyenne_generale;rang_classe
44545;DELMAS;7;448,5;747,25;12,45;892
97803;BENARD;7;448,5;780;13;553
41895;RIBEIRO;7;449;744,5;12,41;920
16978;GUILLOT;7;449;757;12,62;776
112505;DESCHAMPS;7;449;759;12,65;753
60657;MOULIN;7;449;766,5;12,78;678
24931;JACQUOT;7;449;768;12,8;667
67308;CARRE;7;449;780,5;13,01;550
65209;DUPONT;7;449;790,5;13,18;460
86676;LEMOINE;7;449;801,25;13,35;362
56815;GAUDIN;7;449;826;13,77;217
107163;PEREZ;7;449,5;702;11,7;1439
32990;PRUVOST;7;449,5;707,75;11,8;1373
53216;LESAGE;7;450;736,25;12,27;1013
75873;DAVID;7;450;740,5;12,34;972
46249;GILBERT;7;450;741,5;12,36;963
19989;MEYER;7;450;766;12,77;681
94745;LEMAITRE;7;450;774,5;12,91;603
68476;LAMBERT;7;450;797;13,28;407
102994;HUBERT;7;450;799;13,32;391
86105;BERTRAND;7;450;808,25;13,47;313
6673;GUERIN;7;450;813,5;13,56;284
4653;MACE;7;450;853,5;14,23;125
104114;GRONDIN;7;450;869,25;14,49;84
37506;NICOLAS;7;450;908,25;15,14;27
40504;COLAS;7;450,5;754;12,57;812
102458;DELAUNAY;7;451;749,25;12,49;869
39081;MENARD;7;451;761,5;12,69;722
92327;CHRETIEN;7;451;769,75;12,83;649
86817;PETITJEAN;7;451;771,75;12,86;629
13349;CHEVALIER;7;451;794;13,23;429
72277;ADAM;7;451;803,5;13,39;345
97124;ALVES;7;451;829;13,82;197
104638;PHILIPPE;7;451,5;799,25;13,32;388
103546;RAYMOND;7;451,5;821,75;13,7;238
17532;BERNIER;7;451,5;893,5;14,89;41
277;BOUCHET;7;452;754;12,57;814
76963;LEVY;7;452;768,5;12,81;662
89169;GIMENEZ;7;452;776,5;12,94;586
47469;HERVE;7;452;782;13,03;537
80706;MASSON;7;452;783,5;13,06;521
43741;POTIER;7;452;792,75;13,21;444
52782;ALEXANDRE;7;452;808,25;13,47;315
78269;FAIVRE;7;452;883,5;14,73;59
12032;THOMAS;7;452,5;805,25;13,42;338
93888;NAVARRO;7;453;751,5;12,53;837
35085;LESAGE;7;453;770,25;12,84;643
25695;LEDOUX;7;453;771;12,85;637
53241;VAILLANT;7;453;787;13,12;487
110710;SIMON;7;453;791,25;13,19;453
70773;LESAGE;7;453;808,25;13,47;314
30771;BLANC;7;453;811,25;13,52;295
35719;LOPES;7;453;829;13,82;195
64740;MASSON;7;453;833,75;13,9;176
77763;COHEN;7;453,5;899,5;14,99;35
13369;PASCAL;7;454;757,75;12,63;767
62124;BENOIT;7;454;760,5;12,68;732
23286;GEORGES;7;454;771,25;12,85;634
78452;MARTINEAU;7;454;771,5;12,86;633
104167;LEFORT;7;454;776;12,93;590
2092;DIJOUX;7;454;790,5;13,18;461
1453;TORRES;7;454;855;14,25;120
112380;NAVARRO;7;454;891,25;14,85;47
60366;DENIS;7;454,5;780,5;13,01;547
90531;LEMAIRE;7;454,5;814,5;13,58;275
43029;KLEIN;7;454,5;884;14,73;58
75019;BOUSQUET;7;455;772,5;12,88;619
4022;LEBRETON;7;455;787,5;13,13;482
5012;MUNOZ;7;455;800;13,33;379
76312;GAUTHIER;7;455;919,75;15,33;20
85626;GUILLOT;7;456;809;13,48;309
40226;RENAULT;7;456;812,25;13,54;289
117807;BUISSON;7;456,5;891,25;14,85;46
60117;VALETTE;7;457;798;13,3;401
100237;BOUCHET;7;457;817,25;13,62;263
